Name of Product,Batch No,Manufactured By,Reporting Month & Year
Amitriptyline Tablets I.P.,TAMF-026,"M/s. Medipol Pharmaceutical India Pvt. Ltd., 1199/3, Bhud, Baddi, Dist. Solan, Himachal Pradesh",01-01-2021
Tolvat 30 (Tolvaptan Tablets 30 mg),BRA02174D,"M/s. MSN Laboratories Private Limited, Plot No. 42, Anrich Industrial Estate, Bollaram, Sangareddy District-502325, Telangana",01-01-2021
Amlor -2.5(Amlodipine Besylate Tablets I.P. 2.5 mg),KN20001,"M/s. Ortin Laboratories Ltd., 275 & 278 (Part), I.D.A. Pashamylaram -502307, Sangareddy Dist., Telangana",01-01-2021
"Disilox MPS (Aluminium, Magnesium & Simethicone Oral Suspension I.P.)",C20C92,"M/s. Stadmed Private Limited, 15, Jawpore Road, Kolkata-700074",01-01-2021
Diclofenac Gastro Resistant Tablets I.P. 50 mg (Regunac -50),FZ57K801,"M/s. Zim Laboratories Ltd., B-21/22, MIDC Area, Kalmeshwar, Nagpur, Maharashtra",01-01-2021
1. Ancef 1 gm (Ceftriaxone Injection I.P.) 2. Sterile Water For Injection I.P. 10 ml,13018A 1902022,"M/s. Osper Formulations Pvt. Ltd., Plot No. 134-B, Export Promotion Industrial Park, Phase-1, Jharmajri Baddi, Dist. Solan, Himachal Pradesh M/s. Legency Remedies Pvt. Ltd., P.O. Baddi, Dist. Solan, Himachal Pradesh",01-01-2021
(Omeprazole Capsules I.P.) 20 mg,5703320,"M/s. Karnataka Antibiotics & Pharmaceuticals Ltd. (A Govt. of India Enterprise), Plot No. 14, II Phase, Peenya, Bengaluru - 560058, Karnataka",01-01-2021
Omnikacin ? 250 (Amikacin Injection I.P.),C2VAR02,"M/s. Akums Drugs & Pharmaceuticals Ltd., 2, 3, 4 & 5, Sector 6-B, I.I.E., SIDCUL, Ranipur, Haridwar-249403, Uttarakhand",01-01-2021
Ontic Syrup (Ondansetron Oral Solution I.P- 30 ml),CL19136,"M/s. Corona Remedies Pvt. Ltd., Vill. Jatoli, P.O. Oachghat, Tehsil: Solan, Dist. Solan, Himachal Pradesh - 173223",01-01-2021
VEDARK INSTANT HAND SANITIZER,A-142,"M/s. Gladios Products Pvt. Ltd., 31, Virat Industrial Estate, Dhanot, Gandhinagar-382721, Gujarat",01-01-2021
Doxycycline and Lactic Acid Bacillus Capsules (Mesodox LB Capsules),HBC-4052,"M/s. Haustus Biotech Pvt. Ltd., 44-45, Industrial Area, Tahliwal, Distt. Una, Himachal Pradesh",01-01-2021
Omecot Capsules (Omperazole Capsules IP),MC 19235,"M/s. Mascot Health Series Pvt. Ltd., Plot No. 79, 80, Sector 6 A, IIE, Sidcul, Haridwar - 249403, Uttarakhand",01-01-2021
Cardirid (Carvedilol Tablets IP),CAR-2001,"M/s. Ridley Life Science Pvt. Ltd., D-1651, DSIDC Indl. Complex, Narela, Delhi-110040",01-02-2021
Prolonged-release Diltiazem Tablets BP 90mg,GM20128,"M/s. Skymap Pharmaceuticals Pvt. Ltd., B-3, Dev Bhoomi Industrial Estate, Puhana Iqbalpur Road, Roorkee-247667, Uttarakhand",01-02-2021
Amoxycillin & Potassium Clavulanate Tablets I.P. 625 mg,17,"M/s. Stride Organics Private Ltd., Sy. No. 265/P, Kondapur (Vill.), Ghatkesar, Medchal District (T.S.), Telangana",01-02-2021
Rosuvas 20 (Rosuvastatin Tablets I.P.),EMX0174,"M/s. Sun Pharma Laboratories Ltd., Plot No. 107-108, Namli Block, P.O. Ranipool, East-Sikkim-737135",01-02-2021
Theopenam -1g (Meropenem Injection I.P.),MERM19015A,"M/s. Theon Pharmaceuticals Ltd., Village Saini Majra, Teh. Nalagarh, Distt. Solan, Himachal Pradesh ? 174101",01-02-2021
Amoxycillin Capsules IP 500 mg,YAT91054,"M/s. Yeluri Formulations Pvt. Ltd., Sy. No. 296/7/6, I.D.A. Bollaram, Sangareddy District-502325, Telangana",01-02-2021
RAMZE-5 (Ramipril Tablets I.P.),420-578,"M/s. Zee Laboratories, 47, Industrial Area, Paonta Sahib ? 173025, Himachal Pradesh",01-02-2021
DELSONE-M 16 Tablets (Methylprednisolone Tablets I.P. 16 mg),ART29005,"M/s. Psychotropics India Ltd., Plot No. 46 & 49, Sector-6A, IIE, SIDCUL, Ranipur, Haridwar-249403, Uttarakhand",01-02-2021
Doxylamine Succinate & Pyridoxine Hydrochloride Tablets,PF8B101,"M/s. Pure & Cure Healthcare Pvt. Ltd., Plot No. 26A, 27-30, Sector-8A, I.I.E., SIDCUL, Haridwar-249403, Uttarakhand",01-02-2021
"Revol-CC (Calcium Carbonate Magnesium Oxide, Manganese Sulphate, Zinc & Vitamin D3 Tablets)",MT191325,"M/s. Mascot Health Series Pvt. Ltd., Plot No. 79, 80, Sec-6A, IIE, Sidcul, Haridwar-249403, Uttarakhand",01-02-2021
Aspirin Gastro-Resistant Tablets IP 150 mg,APET716,"M/s. Unicure India Ltd., C-21, 22 & 23, Sector-3, Noida-201301, Distt: Gautam Budh Nagar (U.P.)",01-02-2021
Clopitab (Clopidogrel tablets IP),J901640,Not applicable,01-02-2021
"ULGEL ? A 200 ml (Magaldrate, Simethicone & Oxetacaine Oral Suspension)",1.81E+09,"M/s. Alembic Pharmaceuticals Ltd., Samardung Basti, Karek Block, Namthang Ilaka, South Sikkim ? 737126",01-02-2021
Cefpodoxime Proxetil Dispersible Tablets (BROTOCEF-100 DT TABLETS),CT1904E,"M/s. J.M. Laboratories, Village-Bhanat, P.O.-Ghatti, Subathu Road, Solan, Himachal Pradesh-173211",01-02-2021
Ciprofloxacin Hydrochloride Tablets IP 500 mg,703419,"M/s. Karnataka Antibiotics & Pharmaceuticals Limited, Plot No. 14, II Phase, Peenya, Bengaluru-560058",01-02-2021
Ondansetron Tablets IP 4 mg,T13104,"M/s. Quest Laboratories Pvt. Ltd., Plot No. 45, Sector-III, Pithampur, Dist. Dhar ? 454775, Madhya Pradesh",01-03-2021
VEL-SAFE HAND SANITIZER,VH-1505,"M/s. VELNEX MEDICARE, 344-A, HSIIDC, SAHA (AMBALA), Haryana ? 133104",01-03-2021
MOXEL-250 (Amoxycillin Capsules IP 250 mg),VBC-19I25,"M/s. Venus Biosciences P. Ltd., 116, Export Promotion Industrial Park, Phase I, Jharmajri, Baddi, Dist. Solan ? 173205, Himachal Pradesh",01-03-2021
XTER-250 (Terbinafine Tablets I.P. 250 mg),419-1282,"M/s. Zee Laboratories, 47, Industrial Area, Paonta Sahib ? 173025, Himachal Pradesh",01-03-2021
Combine Dressing Pad B.P. 1980,CD012,"M/s. Modern Healthcare, 782/15, North Street, Chatrapatti ? 626102 (Via) Rajapalayam, Tamil Nadu",01-03-2021
ERA CARE HAND SANITIZER,LTLAP035,"M/s. Nature?s Boon Ayurvedic Pharmacy, Punjab ? 141012",01-03-2021
LEEGRA 120 Tablets (Fexofenndine Hydrochloride Tablets IP 120 mg),OLST?035,"M/s. Oaksun Life Sciences, Plot No. 36, 37, 38, 46 & 47, Chengicherla (V), Medipally (M), Medchal-Malkajgiri (Dist.), Telangana ? 500092",01-03-2021
Ofloxacin and Ornidazole Suspension (INTRACARE R.T.U. SUSPENSION),UIU-22120,"M/s. Senate Laboratories, 252, Sisona, Bhagwanpur, Roorkee ? 247661, Uttarakhand",01-03-2021
CORSAVE-10 (Rosuvastatin Calcium Tablets I.P. 10 mg),19SGLT011,"M/s. Synokem Pharmaceuticals Limited, Plot No. 35?36, Sector-6A, I.I.E. (SIDCUL), Ranipur (BHEL), Haridwar ? 249403, Uttarakhand",01-03-2021
Surgicom (Cotton Gauze Pad) (Absorbent Gauze ? BP Type 13 Absorbent Cotton Wool IP),1023/20,"M/s. The Ramaraju Surgical Cotton Mills Ltd., 2/318?2/321, Sankarankovil Road, Perumalpatti ? 627753, Tamil Nadu",01-03-2021
i Clean Hand Sanitizer (Isopropyl Alcohol),IC328,Not Mentioned,01-03-2021
i Clean Hand Sanitizer (Isopropyl Alcohol),1220,Not Mentioned,01-03-2021
CHYMOCIP (Trypsin & Chymotrypsin Tablets),G19CHP004,"M/s. Acme Generics LLP, Plot No. 115, HPSIDC, Industrial Area, Davni, P.O. Gurumajra, Tehsil, Nalagarh, Distt. Solan, Himachal Pradesh ? 174101",01-03-2021
Operation Theatre Gauze (Gauze Swabs B.P. 80),8,"M/s. Anand Product, 8/162, J?17, Vanniyampatti Road, Sankarapandiyapuram, Chatrapatti ? 626102, Tamil Nadu",01-03-2021
HAVLOC INSTANT HAND SANITIZER GEL,BR0402,"M/s. BRP Industry Pvt. Ltd., No. 42/2, First Floor, Govindan Street, Ayyavoo Colony, Aminjikarai, Chennai, Tamil Nadu ? 600029",01-03-2021
HAVLOC INSTANT HAND SANITIZER LIQUID,BR0401,"M/s. BRP Industry Pvt. Ltd., No. 42/2, First Floor, Govindan Street, Ayyavoo Colony, Aminjikarai, Chennai, Tamil Nadu ? 600029",01-03-2021
HAVLOC INSTANT HAND SANITIZER GEL,BR0412,"M/s. BRP Industry Pvt. Ltd., No. 42/2, First Floor, Govindan Street, Ayyavoo Colony, Aminjikarai, Chennai, Tamil Nadu ? 600029",01-03-2021
Paracetamol Tablets IP 650 mg (Febrex -650),FAP1D07,"M/s. Indoco Remedies Ltd., Mumbai ? 400098",01-03-2021
TLM-80 (Telmisartan Tablets I.P. 80 mg),31T20T02,"M/s. Shine Pharmaceuticals Ltd., Plot No. 132, Karjan-Vemardi Road, Juni Jitherdi, Ta. Karjan ? 391240, Dist. Vadodara, Gujarat",01-04-2021
"Aceclofenac, Paracetamol and Serratiopeptidase Tablets (ACEPRO-SP TABLETS)",SST-0657,"M/s. Shri Sai Balaji Pharmatech Pvt. Ltd., Plot No. 20, Ext. HPSIDC Industrial Area, Baddi, Distt. Solan, Himachal Pradesh ? 173205",01-04-2021
SPINOBAK-10 (Baclofen Tablets I.P. 10 mg),K3ALT001,"M/s. Sirmour Remedies (P) Ltd., Village Layarda, P.O. Missarwala, Paonta Sahib, Distt. Sirmour (HP) ? 173205",01-04-2021
Paracetamol Tablets IP 650 mg (MECIPAR 650 TABLETS),SP20641,"M/s. Sotac Pharmaceuticals Pvt. Ltd., Plot No. PF/21 Nr. Acme Pharma Opp. Teva Pharma, GIDC-II, Sanand, Ahmedabad, Gujarat",01-04-2021
L-CETAM 500 (Levetiracetam Tablets I.P. 500 mg),20S1GTA508,"M/s. Synokem Pharmaceuticals Ltd., Plot No. 35-36, Sector-6A, I.I.E. (SIDCUL), Ranipur (BHEL), Haridwar ? 249403, Uttarakhand",01-04-2021
Progesterone Sustained- Release Tablets (FULGEST SR 200 TABLETS),GFSM008,"M/s. Synokem Pharmaceuticals Ltd., Plot No. 56-57, Sector-6A, IIE (SIDCUL), Ranipur (BHEL), Haridwar ? 249403, Uttarakhand",01-04-2021
INSTANT STERILE MOPPING PAD (Absorbent Gauze- BP Type 13 with X-Ray Detectable Thread),1017/20,"M/s. The Ramaraju Surgical Cotton Mills Ltd., 2/318?2/321, Sankarankovil Road, Perumalpatti ? 627753, Tamil Nadu",01-04-2021
MISOPROSTOL Tablets I.P. 200 mcg,UHT20096,"M/s. Unimark Healthcare Ltd., Plot No. 24, 25 & 37 Sector 6A, SIDCUL, Haridwar ? 249403, Uttarakhand",01-04-2021
OLANZAPINE Tablets I.P. 5 mg,T0434,"M/s. Bharat Parenterals Ltd., Vill. Haripura Ltd, Ta. Savli, Dist. Vadodara ? 391520, Gujarat",01-04-2021
ORVASTIN-20 (Atorvastatin Tablets IP 20 mg),P-0H0440,"M/s. Morepen Laboratories Ltd., Plot No. 12-B, Sector-2, Parwanoo, Dist. Solan, Himachal Pradesh ? 173220",01-04-2021
RUTIN (RutosideTrihydra te 95%) (as per F.M),20181126,"M/s. Ningbo Hi-Tech Biochemicals Co., Ltd., China",01-04-2021
TRANEXAMIC ACID TABLETS IP,T2002047,"M/s. Rhydburg Pharmaceuticals Ltd., C-2 & 3, S.I.E.L., Selaqui, Dehradun, Uttarakhand",01-04-2021
GLUCORID (Metformin Hydrochloride Sustained Release Tablets I.P. 500 mg),GLU-2009,"M/s. Ridley Life Science Pvt. Ltd., D-1651, DSIDC Indl. Complex, Narela, New Delhi ? 110040",01-04-2021
REALHIM-10 (Tadalafil Tablets I.P. 10 mg),LC9L225,"M/s. Lifecare Neuro Products Limited, 70/1, Dharampur, Nr. EPIP Phase-II, Baddi ? 173205, Himachal Pradesh",01-04-2021
"REVOL-CC (Calcium Carbonate, Magnesium Oxide, Manganese Sulphate, Zinc & Vitamin D3 Tablets)",MT191326,"M/s. Mascot Health Series Pvt. Ltd., Plot No. 79, 80, Sector 6A, IIE, SIDCUL, Haridwar ? 249403, Uttarakhand",01-04-2021
ZINC SULPHATE DISPERSIBLE TABLETS IP 20 mg,TAC0006AL,"M/s. Hindustan Laboratories, Plot No. 5-9, Survey No. 38/2, Aliyali, Palghar (W), Dist. Palghar ? 401404, Maharashtra",01-04-2021
70% Isopropyl Alcohol Hand Rub (ICANDY),I010520,M/s. RGG Cosmetics Pvt. Ltd. (Complete address not mentioned on the label),01-04-2021
PANTOWEL - 40 (Pantoprazole Sodium Tablets I.P. 40 mg),OBYA01,"M/s. Akums Drugs & Pharmaceuticals Ltd., 19, 20, 21 Sector-6A, I.I.E., SIDCUL, Ranipur, Haridwar ? 249403, Uttarakhand",01-04-2021
ULTRAFLOX-500 (Ciprofloxacin Tablets I.P.),190112A,"M/s. Bal Pharma Limited, Plot No. 1, 2, 3 & 69, Sector-4, IIE, SIDCUL, Pantnagar, Rudrapur, Distt. Udham Singh Nagar, Uttarakhand",01-04-2021
Tranexamic Acid Tablets IP 250 mg (TYRODIN TABLETS ),T0164,"M/s. Canixa Life Sciences Pvt. Ltd., K.No. 313, Raipur Industrial Area, Bhagwanpur, Roorkee, Dist. Haridwar, Uttarakhand ? 247667",01-04-2021
TELMISARTAN TABLETS IP 40 MG,CLT-14747,"M/s. CAREMAX FORMULATIONS, Plot No. 56 & 61, Industrial Area, Phase-III, Sansarpur Terrace, Distt. Kangra, Himachal Pradesh ? 176501",01-04-2021
Chlorhexidine Gluconate and Ethyl Alcohol Antiseptic Solution (CORUB),G-215,"M/s. Gag Pharmaceuticals, V.P.O. Mubarkpur-Shaikhan ? 144025, Punjab",01-04-2021
Sertraline Tablets IP 50 mg,GM19030,"M/s. Skymap Pharmaceuticals Pvt. Ltd., B-3, Dev Bhoomi Industrial Estate, Puhana Iqbalpur Road, Roorkee ? 247667, Uttarakhand",01-05-2021
Rosuvas 20 (Rosuvastatin Tablets I.P.),EMX0685,"M/s. Sun Pharma Laboratories Ltd., Plot No. 107-108, Namli Block, P.O. Ranipool, East Sikkim ? 737135",01-05-2021
Rosuvas® F-5 (Rosuvastatin and Fenofibrate Tablets I.P.),EMU2687,"M/s. Sun Pharma Laboratories Ltd., Plot No. 107-108, Namli Block, P.O. Ranipool, East Sikkim ? 737135",01-05-2021
Nitrazepam Tablets I.P. 5 mg,DNIT2001,"M/s. Sunrise International Labs Ltd., Plot No. 100, Lane-5, Sector-II, Phase-II, IDA Cherlapally, Hyderabad ? 500051",01-05-2021
Pantoprazole Tablets I.P. 40 mg,PP22,"M/s. Suzikem Drugs Pvt. Ltd., Plot No. 205/2A, IDA Cherlapally Phase II, Medchal-Malkajgiri District, Telangana ? 500051",01-05-2021
Amlodipine Tablets IP (LOPIN-5 TABLETS),STN-200968,"M/s. Terrace Pharmaceuticals (P) Ltd., 3-B(a), Phase-III, Industrial Area, Sansarpur Terrace, Distt. Kangra, Himachal Pradesh ? 176501",01-05-2021
Primaquine Phosphate I.P. 2.5 mg,T-22109,"M/s. Jackson Laboratories Pvt. Ltd., Majitha Road, Bye Pass, Amritsar ? 143001, Punjab",01-05-2021
FEXOFENADINE HYDROCHLORIDE TABLETS IP,FXNT-1009,"M/s. WINGS BIOTECH, 43 & 44 HPSIDC, Industrial Area, Baddi ? 173205, Himachal Pradesh",01-05-2021
Clopidogrel & Aspirin Tablets,TACB-011,"M/s. Medipol Pharmaceutical India Pvt. Ltd., 1199/3, Bhud, Baddi, Dist. Solan, Himachal Pradesh",01-05-2021
Inmecin R (Indomethacin Sustained Release Capsules U.S.P.),PC-111958,"M/s. Primus Pharmaceuticals, Sadhoura Road, Mouza Ogli Khari, Vill Asgarpur Majra, Kala Amb, Distt. Sirmour, Himachal Pradesh ? 173030",01-05-2021
Diclofenac Sodium Tablets IP 50 mg,T2224,"M/s. Quest Laboratories Pvt. Ltd., Plot No. 45, Sector-III, Pithampur, Dist. Dhar ? 454775, Madhya Pradesh",01-05-2021
"DIPHENHYDRAMINE HYDROCHLORIDE, AMMONIUM CHLORIDE, SODIUM CITRATE AND MENTHOL SRYUP",LX-5435,"M/s. LEGEN HEALTHCARE, Plot No. 20, Sector-5, Parwanoo, Distt. Solan, Himachal Pradesh ? 173220",01-05-2021
Piclin (Sodium Picosulfate Tablets 10 mg),NT00061,"M/s. Medicamen Biotech Ltd., SP-1192, A & B, Phase IV, Industrial Area, Bhiwadi ? 301019, Distt. Alwar, Rajasthan",01-05-2021
Nofloxacin Tablets I.P. 400 mg,NT801,"M/s. Unicure India Ltd., C-21, 22 & 23, Sector-3, Noida ? 201301, Distt. Gautam Budh Nagar, Uttar Pradesh",01-05-2021
LEDOVANC (Vancomycin Hydrochloride for Intravenous Infusion I.P. 500 mg),VNI20335AC,"M/s. Celon Laboratories Pvt. Ltd., Plot No. 2, Alep Industrial Estate, Gajularamaram, Medchal District, Telangana ? 500090",01-05-2021
Telmisartan 40 mg and Amlodipine 5 mg Tablets IP (TELMA-AM TABLETS),5201874,"M/s. Glenmark Pharmaceuticals Ltd., Village Kishanpura, Baddi-Nalagarh Road, Tehsil Baddi, Distt. Solan, Himachal Pradesh ? 173205",01-05-2021
CARDINOL-50 (Atenolol Tablets I.P. 50 mg),1091-05,"M/s. Hab Pharmaceuticals & Research Limited, 10, Pharmacity SIDCUL, Selaqui, Dehradun, Uttarakhand ? 248011",01-05-2021
Paracetamol Tablets IP 500 mg,999,"M/s. Hindustan Antibiotics Ltd., Pimpri, Pune ? 411018, Maharashtra",01-05-2021
Ramipril Tablets I.P. 2.5 mg,RMP-23,"M/s. C.I. Laboratories, 24-B, B.L. Shah Road, Kolkata ? 700053",01-05-2021
Cypermethrin Dip Concentrate Liquid Ip Vet. (CYPER 10% VETERINARY),CP-245,"M/s. Saibliss Drugs & Pharmaceuticals, 66-67, Gondpur Industrial Area, Pontasahib, Distt. Sirmour, Himachal Pradesh",01-06-2021
Pregabalin and Methylcobalamin Capsule (MECNAR-PLUS CAPSULES),TLC-441,"M/s. Taksa Lifescience, E-47, Industrial Area, Focal Point, Derabassi, Distt. Mohali, Punjab",01-06-2021
ASPIRIN TABLETS I.P (Dilsprin 75),T-20902,"M/s. Jackson Laboratories Pvt. Ltd., Majitha Road, Bye Pass, Amritsar, B.O. ? 32-33, CBD Belapur, New Mumbai",01-06-2021
Asonac-100 (Aceclofenac Tablets I.P.),420-576,"M/s. Zee Laboratories, 47, Industrial Area, Paonta Sahib ? 173025, Himachal Pradesh",01-06-2021
Goodvit (Folic Acid Tablets I.P.),GVT-76,"M/s. Overseas Health Care Pvt. Ltd., 335 K.M. Milestone, National Highway No. 1, P.O. Box No. 25, Phillaur ? 144410, Punjab",01-06-2021
FEN PIL-120 (Fexofenadine Hydrochloride Tablets I.P. 120 mg),AWX29002,"M/s. Psychotropics India Limited, Plot No. 46 & 49, Sector 6A, IIE, SIDCUL, Ranipur, Haridwar ? 249403, Uttarakhand",01-06-2021
Iverpil-12 (Ivermectin Dispersible Tablets 12 mg),AFM20018,"M/s. Psychotropics India Ltd., Plot No. 46 & 49, Sector 6A, IIE, SIDCUL, Ranipur, Haridwar ? 249403, Uttarakhand",01-06-2021
Omeprazole Gastro-Resistant Capsules IP 20 mg,GM20033,"M/s. Skymap Pharmaceuticals Pvt. Ltd., B-3, Dev Bhoomi Industrial Estate, Puhana Iqbalpur Road, Roorkee ? 247667, Uttarakhand",01-06-2021
"Alusil (Aluminium, Magnesium and Simethicone Chewable Tablets I.P.)",ACT801,"M/s. Unicure India Ltd., C-21, 22 & 23, Sector-3, Noida ? 201301, Distt. Gautam Budh Nagar, Uttar Pradesh",01-06-2021
Bupivacaine Hydrochloride in Dextrose Injection USP 4 ml,1320328,"M/s. Swiss Parentrals Ltd., 808, 809 & 810, Kerela Industrial Estate, G.I.D.C., Nr. Bavla, Dist. Ahmedabad ? 382220, Gujarat",01-06-2021
Bupivacaine Hydrochloride in Dextrose Injection USP 4 ml.,TBD-2003,"M/s. Systochem Laboratories Ltd., B-75, Roop Nagar, Indl. Area, Loni ? 201102, Uttar Pradesh",01-06-2021
Amikef 500-2 ml (Amikacin Sulphate Injection I.P.).,A20332VP,"M/s. Lupin Ltd., 116, 1st Floor, K. B. Complex, Opp. Mahavir Nagar, Vapi ? 396195, Gujarat",01-06-2021
CHLORCIN-500 (Chloramphenicol Capsules I.P. 500 mg),OC-1809006,"M/s. Oshin Laboratories Pvt. Ltd., Aggarwal Industrial Area, Piou Maniyari, Narela Road, Kundli ? 131028, Haryana",01-06-2021
REMDESIVIR FOR INJECTION 100 mg/vial (COVIPRI INJECTION),PR/A-54,"M/s. Pristine Life Sciences, A-229, PIPDIC Industrial Estate, Mettupalayam, Singtam, Sikkim",01-06-2021
Omeprazole Capsules IP,OMI-2001,"M/s. Ridley Life Science Pvt. Ltd., D-1651, DSIDC Indl. Complex, Narela, Delhi ? 110040",01-06-2021
MERICOBAL-PG,TLC-262,"M/s. Taksa Lifescience, E-47, Industrial Area, Focal Point, Derabassi, Distt. Mohali, Punjab",01-06-2021
CEFIXIME DISPERSIBLE TABLETS IP 200 mg,TPT GOV-2231,"M/s. Terrace Pharmaceuticals (P) Ltd., 3-B(a), Phase-III, Industrial Area, Sansarpur Terrace, Distt. Kangra, Himachal Pradesh ? 176501",01-06-2021
IBUPROFEN AND PARACETAMOL Tablets (IBULIP-P TABLETS),21001,"M/s. Tulip Formulations Pvt. Ltd., Village Surajpur Uparla, Tehsil Indora, Distt. Kangra, Himachal Pradesh",01-06-2021
Atorvastatin Tablets IP 20 mg,AVBT802,"M/s. Unicure India Ltd., C-21, 22 & 23, Sector-3, Noida ? 201301, Distt. Gautam Budh Nagar, Uttar Pradesh",01-06-2021
LORAZEPAM INJECTION IP 2 mg/ml (LOPEZ INJECTION),KLLO0002,"M/s. Kilitch Drugs India Ltd., Plot C-301/2, MIDC, TTC, Navi Mumbai, Pawane ? 400705",01-06-2021
IVERMECTIN TABLETS USP 6 Mg,IVE/20002,"M/s. Maan Pharmaceuticals Ltd., Plot-1, G.I.D.C., Phase-II, Modhera Road, Mehsana ? 384002, Gujarat",01-06-2021
Amitraz Dip Concentrate Liquid BP Vet. (AMTRAZ),AVG-401,"M/s. Ambrosia Pharma, 91 Industrial Estate, Zainakot, Srinagar, Jammu & Kashmir",01-06-2021
OYSCAL AMPICILLIN CAPSULES I.P. 500 mg,BPT-6611,"M/s. Banson Pharmaceutical Pvt. Ltd., C-9 & 10 Focal Point, Nabha (Pb) ? 147201",01-06-2021
Calcium Carbonate & Vitamin D3 Tablets (OYSCAL),BPT-6617,"M/s. Banson Pharmaceutical Pvt. Ltd., C-9 & 10 Focal Point, Nabha, Punjab ? 147201",01-06-2021
Folic Acid Tablets IP,T9122,"M/s. Bharat Parenterals Ltd., Vill. Haripura, Ta. Savli, Dist. Vadodara ? 391520, Gujarat",01-06-2021
"MEGNESIUM, ZINC AND VIT D3 SUSPENSION (DECALVIT SUSPENSION)",BL-822,"M/s. Biosearch Organics, D.I.C. Industrial Estate, Govindsar, Kathua ? 184102, Jammu & Kashmir",01-06-2021
Belitra - 200 (Itraconazole Capsules 200 mg),AC20084,"M/s. Cian Healthcare Ltd., Khasra No. 248, Vill. Sisona, Bhagwanpur, Roorkee, Uttarakhand",01-06-2021
SESTIL - AD (Loperamide Hydrochloride Dispersible Tablets),CST-75,"M/s. Coastal Medicare Pvt. Ltd., RS No. 9/2, 5, Ramachandrapuram, Surampalli, Krishna Dist., Andhra Pradesh",01-06-2021
TELMISARTAN TABLETS I.P. 40 mg (TELMICEPT-40 TABLETS),C21T470002,"M/s. Concept Pharmaceuticals Ltd., A-28/3, MIDC, Chikalthana, Aurangabad ? 431006, Maharashtra",01-06-2021
AMPICILLIN CAPSULES I.P. 500 mg,AMP-19B03,"M/s. Cyper Pharma, K.No. 825-827, Gullarwala Saj Road, Baddi, Distt. Solan, Himachal Pradesh ? 173205",01-06-2021
"Coldbest PC SYRUP (Paracetamol, Phenylephrine Hydrochloride & Chlorpheniramine Maleate Syrup, 60 ml)",DL5872,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala-Amb, Distt. Sirmour, Himachal Pradesh ? 173030",01-06-2021
"Coldbest PC SYRUP (Paracetamol, Phenylephrine Hydrochloride & Chlorpheniramine Maleate Syrup, 60 ml)",DL5201,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala-Amb, Distt. Sirmour, Himachal Pradesh ? 173030",01-06-2021
"Methylcobalamin, Pyridoxine HCI and Nicotinamide Injection (MAXOBAL INJECTION)",HL-403A,"M/s. Havik Pharma, Plot No. 9 AB, Phase-1, Ind. Area, Sansarpur-Terrace, Distt. Kangra, Himachal Pradesh",01-06-2021
Azilsartan Medoxomil Tablets 80 mg (ABEL-80 TABLETS),QZ210101,"M/s. Hetero Labs Limited (Unit II), Kalyanpur (Village), Chakken Road, Baddi (Tehsil), Solan (Distt.), Himachal Pradesh ? 173205",01-06-2021
Diclofenac Sodium Inj. I.P. 75 mg/ 3ml,DSIX-109,"M/s. Hindustan Antibiotics Ltd., At: 11, W.E.A. Faridabad ? 121001, Haryana",01-06-2021
"SANGENTA INJECTION (Gentamicin Injection IP, 30 ml)",JDLI-169,"M/s. Jpee Drugs, Plot No. 53, Sector 6A, SIDCUL, Haridwar, Uttarakhand",01-06-2021
SANDEXA INJECTION 30 ml (Dexamethasone Sodium Phosphate Injection IP 2.0 mg/ml),JDLI-167,"M/s. Jpee Drugs, Plot No. 53, Sector 6A, SIDCUL, Haridwar, Uttarakhand",01-06-2021
Amoxycillin Oral Suspension I.P. 60 ml Dry Syrup 125 mg/5 ml,9903620,"M/s. Karnataka Antibiotics & Pharmaceuticals Limited, Plot No. 14, II Phase, Peenya, Bengaluru ? 560058",01-06-2021
Amikacin Sulphate Injection I.P. 500 mg/2 ml,7901719,"M/s. Karnataka Antibiotics & Pharmaceuticals Ltd., Plot No. 14, II Phase, Peenya, Bengaluru ? 560058",01-06-2021
Supradyn (Multivitamin Tablets with Minerals and Trace Elements),MH3388,"M/s. Piramal Enterprises Ltd., K-1, Addl., MIDC area, Mahad Maharashtra, 402302",01-07-2021
Domperidone Suspension I.P.,L6002,"M/s. Quest Laboratories Pvt. Ltd., Plot No. 45, Sector â??III, Pithampur, Dist. - Dhar, 454775, Madhya Pradesh",01-07-2021
Natural Sunshine Hand Sanitizer (100ml) Chlorhexidine Gluconate Solution IP 2.5% Ethnol IP70%,7,"M/s. SHREE ENTERPRISES Plot No 1, Near Star Talkies, Burmamines, Jamshedpur, Jharkhand -831007",01-07-2021
Doxycycline Hydrochloride Capsules I.P. 100 mg,3157,"M/s. Super Formulations Pvt. Ltd., 16 B & 15 F, Industrial Area, Maxi Road, Ujjain, Madhya Pradesh - 456010",01-07-2021
STATIX -20 (Atorvastatin Tablets IP 20 mg),BPSB20093,"M/s. Swiss Garnier Biotech Pvt. Ltd., 21, Industrial Area, Mehatpur, Dist. Una, Himachal Pradesh â?? 174315",01-07-2021
Linezolid Tablets IP,GT200808,"M/s. Theon Pharmaceuticals Ltd. Vill. Saini Majra, Teh. Nalagarh, Dist. Solan, Himachal Pradesh - 174101",01-07-2021
